timestamp_ms,acceleration_x_m_s2,acceleration_y_m_s2,acceleration_z_m_s2
13331,-0.68,1.12,9.54
13369,-0.66,1.1,9.5
13404,-0.67,1.1,9.51
13438,-0.67,1.09,9.52
13471,-0.67,1.11,9.51
13509,-0.66,1.11,9.49
13544,-0.67,1.1,9.48
13580,-0.67,1.11,9.5
13614,-0.67,1.09,9.54
13651,-0.67,1.08,9.52
13687,-0.67,1.13,9.53
13720,-0.68,1.06,9.5
13758,-0.65,1.08,9.5
13793,-0.67,1.12,9.55
13827,-0.66,1.1,9.5
13861,-0.73,1.0,9.55
13899,-0.65,1.13,9.52
13934,-0.66,1.14,9.52
13968,-0.67,1.08,9.5
14003,-0.68,1.11,9.52
14039,-0.68,1.14,9.53
14072,-0.63,1.14,9.5
14107,-0.65,1.13,9.52
14145,-0.67,1.12,9.54
14180,-0.68,1.13,9.52
14215,-0.66,1.12,9.54
14249,-0.67,1.12,9.51
14285,-0.69,1.09,9.5
14319,-0.67,1.12,9.54
14354,-0.67,1.09,9.52
14389,-0.66,1.12,9.51
14426,-0.69,1.12,9.5
14460,-0.66,1.12,9.52
14495,-0.67,1.09,9.51
14533,-0.67,1.12,9.5
14568,-0.68,1.09,9.51
14603,-0.67,1.1,9.52
14638,-0.68,1.11,9.52
14673,-0.67,1.1,9.54
14708,-0.67,1.1,9.5
14743,-0.65,1.12,9.51
14777,-0.68,1.1,9.56
14815,-0.67,1.12,9.53
14850,-0.7,1.09,9.53
14884,-0.67,1.11,9.53
14921,-0.67,1.07,9.51
14956,-0.68,1.08,9.53
14991,-0.68,1.12,9.53
15025,-0.66,1.12,9.51
15063,-0.67,1.1,9.53
15097,-0.68,1.1,9.49
15132,-0.66,1.13,9.51
15167,-0.68,1.09,9.5
15205,-0.66,1.13,9.54
15240,-0.68,1.11,9.52
15273,-0.69,1.1,9.51
15311,-0.62,1.12,9.5
15346,-0.66,1.14,9.53
15381,-0.69,1.11,9.51
15416,-0.67,1.09,9.54
15454,-0.65,1.15,9.54
15490,-0.64,1.11,9.48
15523,-0.61,1.08,9.5
15558,-0.69,1.11,9.53
15596,-0.67,1.15,9.5
15631,-0.67,1.09,9.55
15666,-0.67,1.13,9.52
15704,-0.63,1.14,9.52
15738,-0.66,1.14,9.53
15772,-0.67,1.13,9.51
15807,-0.67,1.13,9.53
15844,-0.62,1.14,9.52
15879,-0.64,1.17,9.5
15913,-0.63,1.18,9.52
15948,-0.64,1.16,9.55
15986,-0.67,1.14,9.57
16020,-0.65,1.15,9.54
16055,-0.73,1.03,9.89
16090,-0.61,1.0,9.41
16122,-0.53,1.32,9.52
16158,-0.66,1.21,10.55
16193,0.27,0.06,12.57
16229,-0.24,2.74,16.77
16264,1.28,-0.48,12.4
16299,2.9,1.14,1.24
16331,3.45,1.36,9.25
16369,4.1,1.39,10.86
16405,4.75,0.98,8.48
16438,4.42,2.13,7.05
16474,7.7,0.96,6.13
16509,6.68,1.38,4.41
16544,7.86,1.99,3.96
16577,7.85,0.97,1.02
16615,8.93,1.07,-2.56
16651,9.13,-0.18,0.89
16684,10.21,1.15,-1.13
16721,9.49,0.74,0.65
16756,9.55,0.8,0.33
16789,9.41,0.41,0.33
16822,9.46,0.43,-0.83
16860,9.63,0.28,-0.67
16894,9.55,0.17,-0.7
16927,9.5,0.3,-0.03
16974,9.33,0.0,0.78
17009,9.51,0.47,0.49
17044,9.7,0.82,0.36
17077,9.63,0.72,0.21
17116,9.52,0.33,0.0
17150,9.58,0.59,0.13
17183,9.49,0.36,0.31
17218,9.53,0.31,0.16
17257,9.44,0.22,0.53
17291,9.48,0.65,1.0
17324,9.6,0.49,-0.16
17361,9.59,0.61,0.02
17396,9.52,0.53,0.22
17431,9.6,0.57,0.22
17466,9.53,0.54,0.4
17503,9.46,0.38,0.25
17537,9.59,0.48,-0.09
17570,9.52,0.47,0.29
17608,9.54,0.58,0.44
17643,9.53,0.57,0.19
17676,9.56,0.63,0.42
17711,9.52,0.53,0.32
17747,9.53,0.57,0.35
17783,9.53,0.64,0.55
17818,9.57,0.74,0.1
17853,9.42,0.28,0.37
17889,9.53,0.56,0.3
17923,9.48,0.63,0.47
17956,9.58,0.77,0.3
17992,9.6,0.78,0.18
18025,9.54,0.67,0.31
18061,9.54,0.71,0.45
18095,9.49,0.65,0.55
18129,9.52,0.69,0.38
18164,9.57,0.81,0.3
18199,9.5,0.69,0.47
18231,9.55,0.74,0.27
18269,9.49,0.81,0.55
18305,9.54,0.84,0.42
18337,9.53,0.84,0.38
18374,9.51,0.75,0.26
18409,9.56,0.94,0.28
18442,9.47,0.81,0.71
18476,9.54,0.83,0.23
18513,9.57,0.86,0.47
18548,9.55,0.83,0.37
18583,9.57,0.77,0.3
18619,9.55,0.96,0.51
18657,9.51,0.78,0.57
18690,9.53,0.8,0.49
